Allergy Plant,Similar looking plant,Scientific name,Difference,Mainly found in 
Ryegrass,Lilyturf,Liriope muscari,"Ryegrass forms a dense, fine-textured lawn with narrow upright blades and produces high amounts of airborne pollen. Lily Turf (Liriope) grows in tidy clumps with broader, arching leaves and small purple flowers, and releases very little airborne pollen, making it safer for allergy-sensitive people.","Gardens, shaded borders, landscaping areas in Victoria; commonly used as low-maintenance ground cover."
Plane Tree,Trident Maple,Acer buergerianum,"Plane Trees have broad, maple-like leaves, rough patchy bark, and produce round, spiky seed balls. Trident Maples have smaller, more delicate three-lobed leaves, smooth gray bark, and produce winged seeds (samaras) in clusters, making them easier to distinguish.","Urban gardens, streetscapes, and parks across Victoria."
Silver Birch,Paperbark Tree,Melaleuca quinquenervia,"Silver Birch has small, triangular serrated leaves, smooth white bark that peels in thin sheets, and produces long catkins releasing large amounts of fine airborne pollen. Paperbark Trees have narrow, elongated leaves, rough pale bark that flakes in thick layers, and produce creamy bottlebrush-like flowers with very low airborne pollen.","Streets, parks, wetlands, and gardens throughout Victoria."
Bermuda Grass,Sir Walter Buffalo Grass,Stenotaphrum secundatum,"Bermuda Grass forms a dense lawn with fine, wiry leaves and produces large amounts of airborne pollen during flowering. Sir Walter Buffalo Grass has broader, flatter, and softer leaves, grows by thick runners, flowers much less frequently, and releases minimal airborne pollen, making it a safer choice for allergy-sensitive lawns.","Home lawns, parks, schools, and shaded gardens across Victoria."
Timothy Grass,Lomandra,Lomandra longifolia,"Timothy Grass grows upright with fine leaves and tall cylindrical flower spikes that release large amounts of airborne pollen. Lomandra forms dense clumps with long, strap-like leaves and small, hidden flowers that produce minimal airborne pollen, making it much safer for allergy-sensitive landscapes.","Public parks, roadside plantings, gardens across Victoria."
Mulberry (Morus alba),Small-leaved Lime Tree,Tilia cordata,"Mulberry trees have broad, textured leaves that may be lobed or unlobed, with rough bark and edible fruits, and produce moderate amounts of airborne pollen. Small-leaved Lime Trees have heart-shaped, smooth-edged leaves and small fragrant flowers, releasing lower levels of airborne pollen, making them a milder alternative for allergy-sensitive areas.","Streetscapes, parks, and public gardens across Victoria."
Olive Tree,Mayten Tree,Maytenus boaria,"Olive Trees have leathery, grey-green narrow leaves, rough bark, and produce small green fruits along with heavy airborne pollen. Mayten Trees have finer, soft green leaves arranged on graceful weeping branches and produce minimal airborne pollen, making them a gentler alternative for allergy-sensitive gardens.","seen in botanical gardens, private gardens, and arboretums."
Atlas Cedar (Cedrus atlantica),Engelmann Spruce,Picea engelmannii,"Atlas Cedar has thick, bluish-green needles arranged in dense clusters on sturdy horizontal branches and produces upright barrel-shaped cones. Engelmann Spruce has softer, shorter bluish needles arranged radially around the twig and produces hanging, slender cones, with a more conical overall tree shape.
",Rarely planted in Victoria; mainly found in specialized gardens and cooler mountain areas.
Elm Tree (Ulmus species),Japanese Zelkova,Zelkova serrata,"Elm Trees have rough, deeply furrowed bark, asymmetrical toothed leaves, and release large amounts of airborne pollen. Japanese Zelkova has smoother, grayish bark, more symmetrical finely toothed leaves, and produces much less airborne pollen, making it a safer alternative for allergy-sensitive landscapes.","Streetscapes, parks, and gardens in Victoria, especially used as an Elm replacement."
Oak Tree (Quercus species),Sweetgum,Liquidambar styraciflua,"Oak Trees have broad, lobed leaves with deep rounded edges and produce acorns as fruit, along with heavy airborne pollen. Sweetgum Trees have star-shaped leaves with pointed lobes and produce spiky round seed balls, while releasing less airborne pollen compared to Oaks.","Public parks, gardens, and urban streetscapes across Victoria."
Pigweed (Amaranthus species),Chinese Spinach,Amaranthus tricolor,"Pigweed grows upright with coarse, rough leaves and tall flowering spikes that release heavy airborne pollen. Chinese Spinach (Amaranthus tricolor) has softer, more tender leaves, shorter flowering spikes, and produces much less airborne pollen, making it a safer choice for allergy-sensitive gardens.","Home vegetable gardens, farms, and some community gardens across Victoria."
Ragweed (Ambrosia species),Sweet Cicely,Myrrhis odorata,"Ragweed grows with coarse, rough, deeply lobed leaves and produces large amounts of airborne pollen. Sweet Cicely has delicate, finely divided fern-like leaves and small white flowers, producing very little airborne pollen, making it much safer for allergy-sensitive people.","Gardens, herb beds, and shaded areas in Victoria."
Privet (Ligustrum species),Lychee Tree,Litchi chinensis,"Privet has small, smooth, oval leaves, dense white flower clusters, and produces heavy airborne pollen and small black berries. Lychee Trees have larger, glossy compound leaves, looser flower clusters, and produce edible fruits, with very low airborne pollen, making them much safer for allergy-sensitive gardens.",In Victoria mainly found in private gardens.
Cocksfoot Grass,Woolly Poa,Poa lanigera,"Cocksfoot has coarse, upright blades with a clumping growth habit and a large, open flowering head. Woolly Poa is finer-textured with soft, narrow leaves and a woolly base; it grows in smaller, denser clumps and lacks the prominent seed heads of Cocksfoot.","Native grasslands, dry forests, and landscaping in Victoria; used in eco-friendly planting"
Paspalum Grass,Urochloa lachnantha,Urochloa lachnantha (Hochst.) A.M.Torres & C.M.Morton,"Paspalum urvillei is a tall, coarse, wind-pollinated grass with broad rough leaves and dense seed heads, known to trigger allergies. Urochloa lachnantha is shorter, softer, and more mat-forming with less airborne pollen, making it safer for allergy-sensitive individuals. ",In Victoria mainly found in private gardens and parks.
